author,published_at,like_count,text
@anandhuanandhu4915,2026-09-08T06:10:15Z,0,Itu hittt
@CathyThomas-rm6pm,2026-09-07T14:17:48Z,0,sooo excitedd!!!🤩
@SuminSn,2026-09-07T14:10:49Z,0,This needs to be told.. 👌
@M4Marketing-l8n2s,2026-09-07T14:08:11Z,0,Sreenath is an excellent artist..
@heightsgmedia2540,2026-09-07T14:05:54Z,0,Concept ഇഷ്ടമായി.. പടം നന്നായാൽ ഉറപ്പായും ആൾ കേറും.. സാധാരണക്കാരുടെ കഥയല്ലേ
@RevenueTalks-dt7qm,2026-09-06T20:17:44Z,1,An important concept to be told.. surprised to see this.. good luck team
@Rawmango-w9b,2026-09-06T18:13:07Z,0,Sreenath bhasi = new dhyan sreenivasan ??
@pranayaparu,2026-09-06T14:29:06Z,0,ഭാസി തിയേറ്ററിൽ തീ പടർത്തും എന്ന് ഉറപ്പാണ്
@aravind-b1v,2026-09-06T14:28:41Z,0,Sreenath Bhasi will definitely nail this role
@DiyaMaria-l5k,2026-09-06T14:28:15Z,0,ശ്രീനാഥ് ഭാസിയുടെ വമ്പൻ തിരിച്ചുവരവ് പ്രതീക്ഷിക്കാം
@George-q6y9q,2026-09-06T14:26:58Z,0,Bhasi is going to score big with this film
@Manisha-w1z6i,2026-09-06T14:26:23Z,0,പടം വരുമ്പോൾ ഭാസിയുടെ കളി വേറെയായിരിക്കും
@aaravKrishna-e1p,2026-09-06T14:24:50Z,0,Sreenath Bhasi performance will be the main highlight
@SaraAnnaTeresa,2026-09-06T14:24:29Z,0,തിയേറ്ററിൽ ഭാസിയുടെ മാസ്സ് ആറാട്ട് ആയിരിക്കും
@vargeesemappila,2026-09-06T14:23:58Z,0,Bhasi screen periyill thakaarkkum ennathil samshayam illa
@annammachandy-t8r,2026-09-06T14:22:29Z,0,ഭാസിയുടെ കഥാപാത്രം വലിയൊരു സർപ്രൈസ് ആയിരിക്കും
@sarasara-u1o3n,2026-09-06T14:21:54Z,0,Sreenath Bhasi is going to give an exceptional performance
